"Source:","/home/miguel/Dropbox/Ham/Kenwood/TM-V7/mods/DisplayMod/MyPCB/tmv7displaymod/tmv7displaymod.kicad_sch"
"Date:","Sat 23 Sep 2023 04:43:31 PM WEST"
"Tool:","Eeschema 7.0.6-1.fc38"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","18"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","C1","0.33u","Device:C","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm","~",""
"2","3","C2, C3, C4","100n","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~",""
"3","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.2mm_M2_Pad_Via","~",""
"4","1","J1","2 Pin Molex/KK (DC In)","Connector_Generic:Conn_01x02","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~",""
"5","1","J2","10 Pin Molex/KK (Display)","Connector_Generic:Conn_01x10","Connector_Molex:Molex_KK-254_AE-6410-10A_1x10_P2.54mm_Vertical","~",""
"6","1","J3","5 Pin Molex/KK (Radio)","Connector_Generic:Conn_01x05","Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical","~",""
"7","1","J4","2 Pin Molex/kk (Backlight)","Connector_Generic:Conn_01x02","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~",""
"8","1","R1","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~",""
"9","2","RV1, RV2","10k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~",""
"10","1","SW1","RESET","Switch:SW_Push","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",""
"11","1","U1","L7805","Regulator_Linear:L7805","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf",""
"12","1","U4","ATmega8-16P","MCU_Microchip_ATmega:ATmega8-16P","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2486-8-bit-avr-microcontroller-atmega8_l_datasheet.pdf",""
